Context|English|Français
disney|mickey|mouse
disney|rapetous|pas gentils
disney.donald|riri|gentil
disney.donald|fifi|sympa
disney.donald|loulou|drole
disney.donald.amis|dingo|gentil
disney.donald.amis|pat hibulaire|pas gentils
default|Our <span class='nowrap'>Franck Provost</span> Hairdressing Salons|Nos salons de coiffure <span class="nowrap">Franck Provost</span>
default|Australia|Australie
default|Back|Retour
default|Belgium|Belgique
default|Booking|Prendre rendez-vous
default|China|Chine
default|City, zip|Ville, CP
default|Democratic Republic of the Congo|République démocratique du Congo
default|Franck Provost Hairdressing Salons in Near Cities|Les salons de coiffure Franck Provost dans les villes à proximité
default|Franck Provost Hairdressing Salons in Near Departments|Les salons de coiffure Franck Provost dans les départements à proximité
default|Franck Provost|Franck Provost
default|Friday|Vendredi
default|Georgia|Géorgie
default|Home|Accueil
default|Iran|Iran
default|Italy|Italie
default|Itinerary|Itinéraire
default|Ivory Coast|Côte d%u2019Ivoire
default|Japan|Japon
default|Jordan|Jordanie
default|Localize Me|Me localiser
default|Luxembourg|Luxembourg
default|Monday|Lundi
default|Morocco|Maroc
default|New search|Nouvelle recherche
default|Open today %1s|Ouvert aujourd%u2019hui %1s
default|Open today from %1s to %2s|Ouvert aujourd'hui de %1s à %2s
default|Our Franck Provost Hairdressing Salons|Nos salons de coiffure Franck Provost
default|Our Franck Provost<br class="conditional"/>Hairdressing Salons|Nos salons<br class="conditional"/>de coiffure<br class="conditional"/>Franck Provost
default|Our Hairdressing Salons in Near Cities|Nos salons de coiffure dans les villes à proximité
default|Our Hairdressing Salons in Near Departments|Nos salons de coiffure dans les départements à proximité
default|Philippines|Philippines
default|Poland|Pologne
default|Portugal|Portugal
default|Saturday|Samedi
default|Search Results|Résultats de la recherche
default|Search|Rechercher
default|South Korea|Corée du Sud
default|Spain|Espagne
default|Sunday|Dimanche
default|Thursday|Jeudi
default|Tuesday|Mardi
default|Wednesday|Mercredi
default|Your %1 Hairdressing Salon<br/>%2s %3s|Votre salon de coiffure<br/>%1s %2s %3s
default|Your Hairdressing Salon<br/>%1s %2s|Votre salon de coiffure<br/>%1s %2s
detail|* Mandatory fields|* Champs obligatoires
detail|An unexpected error occurred. Please contact us.|Une erreur inattendue s%u2019est produite. Merci de nous contacter.
detail|Apply|Postuler
detail|At the moment in your salon|En ce moment dans votre salon
detail|Check your loyalty points|Consultez vos points de fidélité
detail|City:|Ville :
detail|Download voucher|Télécharger le coupon
detail|Estimate your ride with Uber|Estimez votre course avec Uber
detail|Events|Évènements
detail|Firstname|Prénom
detail|Follow the latest news and trends from Franck Provost.|Suivez les dernières actualités et tendances Franck Provost.
detail|I Subscribe|Je m%u2019inscris
detail|Job offers in our salon|Les offres d%u2019emploi dans notre salon
detail|Local promotions|Promotions locales
detail|Man|Homme
detail|Name|Nom
detail|Near Franck Provost Hairdressing Salons|Salons de coiffure Franck Provost à proximité
detail|Next|Suiv
detail|Our Near Hairdressing Salons|Nos salons à proximité
detail|Please check your email address|Merci de vérifier la syntaxe de votre e-mail.
